Street,From,To,Side,Capacity*,13/05/2016 8:00,13/05/2016 9:30,13/05/2016 11:00,13/05/2016 12:30,13/05/2016 14:00,13/05/2016 15:30,13/05/2016 17:00,13/05/2016 21:30,14/05/2016 8:00,14/05/2016 9:30,14/05/2016 11:00,14/05/2016 12:30,14/05/2016 14:00,14/05/2016 15:30,14/05/2016 17:00
Armstrong Street North,Mair Street,Market Street,East,21,14%,62%,81%,81%,86%,62%,48%,105%,5%,33%,71%,76%,71%,62%,38%
Armstrong Street North,Mair Street,Market Street,West,24,79%,96%,100%,100%,100%,92%,46%,75%,8%,100%,100%,96%,100%,79%,46%
Armstrong Street North,Mair Street,Sturt Street,East,32,3%,38%,69%,94%,59%,63%,72%,72%,16%,47%,56%,84%,69%,34%,66%
Armstrong Street North,Mair Street,Sturt Street,West,41,5%,59%,80%,100%,63%,73%,85%,88%,7%,39%,66%,98%,78%,29%,61%
Armstrong Street South,Bath Lane,Chancery Lane,East,9,0%,44%,89%,89%,89%,78%,78%,67%,0%,44%,89%,89%,67%,67%,44%
Armstrong Street South,Bath Lane,Chancery Lane,West,5,0%,40%,60%,100%,100%,100%,100%,60%,0%,60%,100%,100%,100%,60%,60%
Armstrong Street South,Bath Lane,Sturt Street,East,11,0%,73%,100%,109%,91%,91%,100%,82%,0%,73%,82%,91%,100%,64%,36%
Armstrong Street South,Bath Lane,Sturt Street,West,5,20%,100%,80%,100%,100%,100%,100%,40%,20%,80%,80%,80%,60%,80%,60%
Armstrong Street South,Chancery Lane,Dana Street,East,13,62%,77%,92%,100%,92%,92%,92%,85%,0%,92%,100%,100%,100%,85%,23%
Armstrong Street South,Chancery Lane,Dana Street,West,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camp Street,Field Street,Mair Street,East,2,0%,100%,100%,100%,100%,50%,100%,100%,0%,0%,0%,50%,50%,0%,0%
Camp Street,Field Street,Mair Street,West,2,0%,0%,100%,100%,100%,100%,100%,150%,0%,0%,0%,0%,100%,50%,50%
Camp Street,Field Street,Sturt Street,East,27,15%,41%,63%,93%,96%,56%,104%,107%,0%,22%,26%,41%,37%,11%,15%
Camp Street,Field Street,Sturt Street,West,26,58%,100%,96%,100%,100%,92%,96%,77%,8%,46%,100%,100%,92%,92%,58%
Cattan Street,Grenville Street North,End of Court,End,3,67%,67%,100%,100%,100%,100%,33%,33%,33%,67%,67%,67%,67%,67%,0%
Cattan Street,Grenville Street North,End of Court,North,10,80%,100%,110%,100%,90%,90%,100%,50%,70%,100%,90%,90%,90%,70%,30%
Cattan Street,Grenville Street North,End of Court,South,4,100%,100%,125%,125%,125%,125%,125%,50%,100%,100%,100%,75%,50%,50%,25%
Civic Hall Parking Area,,,,222,35%,61%,75%,80%,73%,58%,30%,16%,8%,23%,31%,29%,23%,14%,6%
Coal Gears Road,Mair Street East,Peel Street North,North,18,33%,61%,72%,78%,67%,72%,50%,33%,6%,17%,33%,22%,28%,11%,6%
Coal Gears Road,Mair Street East,Peel Street North,South,20,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Coffee Palace Lane,Mair Street,End of Court,East,17,94%,100%,94%,100%,100%,82%,24%,24%,6%,29%,29%,29%,29%,12%,6%
Coffee Palace Lane,Mair Street,End of Court,West,12,100%,100%,100%,100%,100%,75%,17%,50%,17%,42%,17%,17%,33%,17%,8%
Corbett Street,Humffray Street,Princes Street North,North,36,58%,83%,83%,81%,78%,75%,44%,11%,31%,31%,36%,33%,39%,22%,22%
Corbett Street,Humffray Street,Princes Street North,South,13,31%,23%,8%,23%,8%,0%,0%,0%,0%,0%,0%,0%,8%,0%,0%
Curtis Street,Grenville Street North,Peel Street North,South,17,6%,65%,71%,88%,76%,76%,53%,18%,12%,47%,82%,71%,82%,47%,6%
Curtis Street,Humffray Street,Peel Street North,North,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Curtis Street,Lowe Street,Peel Street North,North,12,0%,0%,8%,33%,17%,58%,25%,0%,0%,17%,25%,8%,33%,8%,8%
Dana Street,Armstrong Street South,Doveton Street South,North,4,0%,100%,100%,100%,100%,100%,100%,50%,50%,0%,100%,100%,100%,50%,0%
Dana Street,Armstrong Street South,Doveton Street South,South,19,26%,47%,47%,63%,84%,58%,53%,68%,26%,21%,63%,95%,79%,53%,21%
Dana Street,Dawson Street South,Doveton Street South,North,15,0%,33%,60%,93%,73%,67%,53%,33%,0%,13%,73%,80%,80%,53%,27%
Dana Street,Dawson Street South,Doveton Street South,South,18,0%,22%,83%,89%,72%,50%,50%,11%,0%,17%,67%,61%,56%,44%,6%
Dana Street,Dawson Street South,Lyons Street South,North,12,100%,100%,100%,100%,100%,83%,67%,17%,25%,83%,92%,92%,92%,83%,42%
Dana Street,Dawson Street South,Lyons Street South,South,15,47%,80%,93%,73%,93%,73%,53%,7%,20%,60%,67%,73%,47%,40%,40%
Dana Street,Drummond Street South,Errard Street South,North,23,91%,100%,100%,100%,83%,48%,22%,9%,13%,13%,9%,0%,0%,0%,0%
Dana Street,Drummond Street South,Errard Street South,South,20,95%,90%,95%,90%,105%,85%,50%,25%,35%,50%,45%,45%,50%,55%,55%
Dana Street,Errard Street South,Raglan Street South,North,22,41%,64%,59%,68%,73%,55%,23%,14%,18%,14%,18%,9%,9%,9%,14%
Dana Street,Errard Street South,Raglan Street South,South,16,38%,100%,100%,100%,94%,69%,63%,31%,25%,25%,19%,19%,19%,25%,25%
Dana Street,Lyons Street South,Raglan Street South,North,19,68%,105%,105%,105%,84%,79%,53%,21%,21%,26%,21%,32%,32%,26%,21%
Dana Street,Lyons Street South,Raglan Street South,South,16,69%,100%,100%,94%,88%,69%,44%,31%,31%,19%,19%,19%,13%,19%,13%
Davey Street,Mair Street,Webster Street,West,17,100%,100%,100%,100%,100%,94%,59%,29%,18%,24%,18%,24%,18%,12%,18%
Davies Street,Mair Street East,End of Court,East,8,50%,100%,88%,100%,100%,38%,25%,0%,0%,38%,38%,25%,25%,13%,13%
Davies Street,Mair Street East,End of Court,West,4,150%,175%,225%,150%,175%,100%,50%,0%,50%,50%,50%,0%,0%,0%,0%
Davies Street,Mair Street East,Shepherd Street,East,5,40%,40%,60%,60%,80%,80%,60%,0%,20%,40%,60%,80%,0%,0%,0%
Davies Street,Mair Street East,Shepherd Street,West,7,100%,100%,100%,100%,71%,71%,43%,0%,71%,86%,86%,100%,86%,86%,14%
Dawson Street North,Mair Street,Sturt Street,East,34,21%,68%,82%,82%,74%,65%,56%,26%,0%,24%,24%,47%,15%,6%,9%
Dawson Street North,Mair Street,Sturt Street,West,45,20%,80%,80%,82%,76%,78%,60%,20%,4%,7%,18%,18%,11%,2%,4%
Dawson Street South,Dana Street,Sturt Street,East,51,22%,69%,76%,82%,69%,59%,59%,45%,12%,55%,57%,61%,61%,43%,27%
Dawson Street South,Dana Street,Sturt Street,West,46,4%,43%,61%,76%,70%,41%,67%,41%,0%,13%,46%,57%,57%,22%,17%
Doveton Street North,Doveton Street North service road,Mair Street,West,5,60%,80%,80%,60%,60%,60%,80%,40%,40%,0%,60%,40%,20%,40%,0%
Doveton Street North,Mair Street,Market Street,East,3,33%,100%,67%,100%,33%,67%,0%,0%,0%,0%,0%,0%,33%,33%,0%
Doveton Street North,Mair Street,Sturt Street,West,28,79%,68%,71%,100%,93%,54%,54%,79%,25%,86%,100%,89%,100%,4%,18%
Doveton Street North,Mair Street,Wigton Place,East,9,89%,89%,100%,100%,100%,67%,89%,78%,67%,89%,89%,89%,89%,44%,67%
Doveton Street North,McKenzie Street,Sturt Street,East,5,0%,100%,60%,100%,100%,40%,40%,60%,0%,60%,100%,100%,100%,0%,0%
Doveton Street North,McKenzie Street,Wigton Place,East,13,46%,92%,77%,100%,54%,54%,69%,38%,31%,85%,100%,100%,92%,31%,31%
Doveton Street North service road,Doveton Street North,Webster Street,East,4,50%,100%,125%,100%,175%,100%,100%,25%,0%,75%,50%,75%,100%,50%,0%
