Area,Bicycle Bike Rack Type,Central Asset ID,Class,Feature Location,Maintaining Authority,Site Name,Ward,long,lat
Ballarat Central,Bicycle Rail - Multiple,00234077,OS-Local,,City of Ballarat,Albert H Graham Reserve,Central,143.862560666208,-37.5650800165735
Alfredton,Bicycle Rail - Multiple,00227654,OS-District,,City of Ballarat,Alfredton Recreation Reserve,North,143.799950035456,-37.5569170400892
Alfredton,Bicycle Rail - Multiple,00227697,OS-District,,City of Ballarat,Alfredton Recreation Reserve,North,143.800172575205,-37.5550859015008
Buninyong,Bicycle Rail - Multiple,00227876,No Code Allocated,,City of Ballarat,Buninyong Municipal Reserve,South,143.884585333812,-37.6506984412117
Wendouree,Bicycle Rail - Multiple,00212537,OS-District,C.E Brown Reserve,City of Ballarat,Charles Edward Brown Reserve,North,143.841789981386,-37.5371470189935
Wendouree,Bicycle Rail - Multiple,00212538,OS-District,C.E Brown Reserve,City of Ballarat,Charles Edward Brown Reserve,North,143.84179701587,-37.5372219990664
Wendouree,Bicycle Rail - Multiple,00212539,OS-District,C.E Brown Reserve,City of Ballarat,Charles Edward Brown Reserve,North,143.841373964178,-37.5369189741088
Eureka,Bicycle Hoop,00212696,OS-Regional,,City of Ballarat,Eureka Stockade,Central,143.883353500175,-37.5650099951611
Eureka,Bicycle Hoop,00212701,OS-Regional,,City of Ballarat,Eureka Stockade,Central,143.883504934423,-37.565317520127
Lake Wendouree,Bicycle Rail - Multiple,00212806,OS-State,Lake Wendouree,City of Ballarat,Lake Wendouree Reserve,Central,143.823249129516,-37.5473496730693
Lake Wendouree,Bicycle Rail - Multiple,00212807,OS-State,Lake Wendouree,City of Ballarat,Lake Wendouree Reserve,Central,143.830555004669,-37.5436780060949
Lake Wendouree,Bicycle Rail - Multiple,00212808,OS-State,Lake Wendouree,City of Ballarat,Lake Wendouree Reserve,Central,143.844118052766,-37.5527080307652
Lake Wendouree,Bicycle Rail - Multiple,00212809,OS-State,Lake Wendouree,City of Ballarat,Lake Wendouree Reserve,Central,143.84266298077,-37.553847001657
Golden Point,Bicycle Hoop,00213118,OS-Regional,Llanberris Athletics Reserve,City of Ballarat,Llanberris Athletics Reserve,Central,143.865953010051,-37.5700590174345
Sebastopol,Bicycle Rail - Multiple,00213182,OS-District,,City of Ballarat,Marty Busch Reserve,South,143.844786037795,-37.6021119803001
Ballarat Central,Bicycle Hoop,00213375,OS-Other,,City of Ballarat,Phoenix Foundry Mall,Central,143.855972475743,-37.5631091321929
Ballarat Central,Bicycle Hoop,00213376,OS-Other,,City of Ballarat,Phoenix Foundry Mall,Central,143.85596609912,-37.5631407338169
Ballarat Central,Bicycle Rail - Multiple,00213381,OS-Other,,City of Ballarat,Phoenix Foundry Mall,Central,143.855993975456,-37.5627060148504
Ballarat Central,Bicycle Hoop,00213390,OS-Other,,City of Ballarat,Phoenix Foundry Mall,Central,143.856137984389,-37.5631600000685
Ballarat Central,Bicycle Hoop,00213391,OS-Other,,City of Ballarat,Phoenix Foundry Mall,Central,143.856140994014,-37.5631410047905
Ballarat Central,Bicycle Hoop,00225582,OS-Other,,City of Ballarat,Phoenix Foundry Mall,Central,143.855943459297,-37.5630814510667
Ballarat Central,Bicycle Hoop,00225583,OS-Other,,City of Ballarat,Phoenix Foundry Mall,Central,143.855945036178,-37.5631345758549
Ballarat Central,Bicycle Hoop,00225602,OS-Other,,City of Ballarat,Phoenix Foundry Mall,Central,143.856156075654,-37.5631624454632
Ballarat Central,Bicycle Hoop,00225603,OS-Other,,City of Ballarat,Phoenix Foundry Mall,Central,143.856158115626,-37.5631447351558
Lake Gardens,Bicycle Rail - Multiple,00213453,OS-District,,City of Ballarat,Prince of Wales Park,Central,143.818695031211,-37.5504850046829
Ballarat Central,Bicycle Rail - Multiple,00213757,OS-Neighbourhood,White Flat,City of Ballarat,White Flat Oval Reserve,Central,143.857119945362,-37.5679960341082
Sebastopol,Bicycle Raill - Pole Mounted,00256713,FP-Medium Use Footpath,Outside Chemist,City of Ballarat,Albert Street,No Code Allocated,143.841034933182,-37.5980430010523
Sebastopol,Bicycle Raill - Pole Mounted,00256715,FP-Medium Use Footpath,Outside furniture shop,City of Ballarat,Albert Street,No Code Allocated,143.840978002317,-37.5972790069092
Ballarat Central,Bicycle Raill - Pole Mounted,00238918,FP-High Use Footpath,On pole outside on track fitness,City of Ballarat,Albert Street,No Code Allocated,143.859286930896,-37.5627369865009
Ballarat Central,Bicycle Raill - Pole Mounted,00256745,FP-Medium Use Footpath,Eureka Medical Centre,City of Ballarat,Albert Street,No Code Allocated,143.858798978643,-37.5641079814331
Ballarat Central,Bicycle Hoop,00224608,No Code Allocated,,City of Ballarat,Armstrong Street North,Central,143.856579631395,-37.5605286423746
Ballarat Central,Bicycle Hoop,00224610,No Code Allocated,,City of Ballarat,Armstrong Street North,Central,143.856405188194,-37.561467273185
Ballarat Central,Bicycle Hoop,00225285,No Code Allocated,,City of Ballarat,Armstrong Street North,Central,143.856967298952,-37.557613852559
Ballarat Central,Bicycle Hoop,00225302,No Code Allocated,,City of Ballarat,Armstrong Street North,Central,143.856607589842,-37.5598088234732
Ballarat Central,Bicycle Hoop,00225305,No Code Allocated,,City of Ballarat,Armstrong Street North,Central,143.856457356733,-37.5606611766549
Ballarat Central,Bicycle Rail - Multiple,00225541,No Code Allocated,,City of Ballarat,Armstrong Street South,Central,143.85581953506,-37.5636183335119
Ballarat Central,Bicycle Rail - Multiple,00212263,No Code Allocated,,City of Ballarat,Armstrong Street South,Central,143.855796221344,-37.5636688170325
Ballarat Central,Bicycle Raill - Pole Mounted,00256841,FP-Low Use Footpath,Outside St Lawrence my work,City of Ballarat,Armstrong Street South,Central,143.855617020874,-37.5650670158503
Ballarat Central,Bicycle Raill - Pole Mounted,00256705,FP-Low Use Footpath,Outside Australia post,City of Ballarat,Ascot Street North,No Code Allocated,143.844439936264,-37.560051021864
Bakery Hill,Bicycle Hoop,00225172,No Code Allocated,,City of Ballarat,Bridge Mall,Central,143.864722954391,-37.5626641211421
Bakery Hill,Bicycle Hoop,00225173,No Code Allocated,,City of Ballarat,Bridge Mall,Central,143.864716504942,-37.5626641876564
Bakery Hill,Bicycle Hoop,00225184,No Code Allocated,,City of Ballarat,Bridge Mall,Central,143.865196540568,-37.5626490151703
Bakery Hill,Bicycle Hoop,00225185,No Code Allocated,,City of Ballarat,Bridge Mall,Central,143.865196009974,-37.5626381251666
Bakery Hill,Bicycle Hoop,00225187,No Code Allocated,,City of Ballarat,Bridge Mall,Central,143.865374979171,-37.562670902044
No Code Allocated,Bicycle Raill - Pole Mounted,00256828,FP-Low Use Footpath,Outside S three promotions,City of Ballarat,Bridge Mall,No Code Allocated,143.86411404917,-37.5626660212324
Ballarat Central,Bicycle Hoop,00225506,No Code Allocated,,City of Ballarat,Camp Street,Central,143.8591705756,-37.5605057018904
Ballarat Central,Bicycle Hoop,00225508,No Code Allocated,,City of Ballarat,Camp Street,Central,143.859288637721,-37.5613818310152
Bakery Hill,Bicycle Rail - Multiple,00225192,No Code Allocated,,City of Ballarat,Curtis Street,Central,143.863996481571,-37.5620643506832
No Code Allocated,Bicycle Hoop,00238943,FP-Medium Use Footpath,Outside 79-81,City of Ballarat,Curtis Street,No Code Allocated,143.863843008651,-37.5619820248388
Ballarat Central,Bicycle Raill - Pole Mounted,00256814,FP-Low Use Footpath,Curry Star,City of Ballarat,Dana Street,No Code Allocated,143.856622029097,-37.5639989769265
Ballarat Central,Bicycle Raill - Pole Mounted,00256816,FP-Low Use Footpath,Outside Smith and Jennings,City of Ballarat,Dana Street,No Code Allocated,143.854767044324,-37.5640419902379
Ballarat Central,Bicycle Hoop,00224985,No Code Allocated,,City of Ballarat,Dawson Street South,Central,143.853103336102,-37.5630138445263
Ballarat Central,Bicycle Hoop,00224986,No Code Allocated,,City of Ballarat,Dawson Street South,Central,143.853221687875,-37.5623541937171
Ballarat Central,Bicycle Hoop,00224325,No Code Allocated,Outside peter labor hotel,City of Ballarat,Doveton Street North,Central,143.85516850736,-37.5593257281245
Ballarat Central,Bicycle Hoop,00225238,No Code Allocated,,City of Ballarat,Doveton Street North,Central,143.855233054897,-37.5596584620296
Ballarat Central,Bicycle Hoop,00225239,No Code Allocated,,City of Ballarat,Doveton Street North,Central,143.85523649952,-37.5596093605739
Ballarat Central,Bicycle Hoop,00238906,FP-High Use Footpath,Ballarat Library,City of Ballarat,Doveton Street North,Central,143.855713033748,-37.5582020720622
Ballarat Central,Heritage Bicycle Rail,00252425,No Code Allocated,Gove Cycles,City of Ballarat,Doveton Street North,Central,143.857189491523,-37.5493616263148
Ballarat Central,Bicycle Hoop,00224989,No Code Allocated,,City of Ballarat,Doveton Street South,Central,143.854426412264,-37.5631579060101
Ballarat Central,Bicycle Hoop,00224997,No Code Allocated,,City of Ballarat,Doveton Street South,Central,143.85467100211,-37.5627097434796
Ballarat Central,Bicycle Raill - Pole Mounted,00256818,FP-High Use Footpath,Outside Oscars,City of Ballarat,Doveton Street South,No Code Allocated,143.854508926254,-37.5628080072217
