Area,Bin Type,Central Asset ID,Class,Feature Location,Maintaining Authority,Site Name,Ward,long,lat
Canadian,Plastipole Bin Stand,00212268,OS-Local,ALEX MILLS PARK,City of Ballarat,Alex Mills Park,South,143.876788841737,-37.5792407153378
Learmonth,Plastipole Bin Stand,00212270,No Code Allocated,Learmonth Recreation Reserve,City of Ballarat,Alexander Park,North,143.712307947558,-37.4227350156269
Alfredton,Plastipole Bin Stand,00212275,OS-District,,City of Ballarat,Alfredton Recreation Reserve,North,143.800423005099,-37.5547160114391
Alfredton,Plastipole Bin Stand,00212278,OS-District,Alfredton Recreation Reserve,City of Ballarat,Alfredton Recreation Reserve,North,143.798577767271,-37.5555863572199
Alfredton,Plastipole Bin Stand,00212280,OS-District,,City of Ballarat,Alfredton Recreation Reserve,North,143.800005395679,-37.5562765907445
Alfredton,Plastipole Bin Stand,00227655,OS-District,,City of Ballarat,Alfredton Recreation Reserve,North,143.799932721593,-37.5570199036997
Alfredton,Plastipole Bin Stand,00227656,OS-District,,City of Ballarat,Alfredton Recreation Reserve,North,143.799932721593,-37.5570199036997
Alfredton,Plastipole Bin Stand,00227692,OS-District,,City of Ballarat,Alfredton Recreation Reserve,North,143.800304343992,-37.5554008549212
Alfredton,Rubbish Bin Receptacle,00227702,OS-District,,City of Ballarat,Alfredton Recreation Reserve,North,143.800069681028,-37.5543541441373
Alfredton,Plastipole Bin Stand,00227729,OS-District,,City of Ballarat,Alfredton Recreation Reserve,North,143.798902240154,-37.5550655851834
Alfredton,Rubbish/Recycle Bin Receptacle,00234024,OS-District,,City of Ballarat,Alfredton Recreation Reserve,North,143.800804161601,-37.5539594280499
Alfredton,Rubbish/Recycle Bin Receptacle,00227746,No Code Allocated,,City of Ballarat,The Chase Central Park,South,143.788032016948,-37.5557092615122
Lake Wendouree,Rubbish/Recycle Bin Receptacle,00212303,OS-Regional,Ballarat Botanical Gardens,City of Ballarat,Ballarat Botanical Gardens,Central,143.822151957776,-37.5479650454165
Lake Wendouree,Rubbish/Recycle Bin Receptacle,00212304,OS-Regional,Ballarat Botanical Gardens,City of Ballarat,Ballarat Botanical Gardens,Central,143.821435394024,-37.5465500130758
Lake Wendouree,Rubbish/Recycle Bin Receptacle,00212305,OS-Regional,Ballarat Botanical Gardens,City of Ballarat,Ballarat Botanical Gardens,Central,143.821431613242,-37.5465547890823
Lake Wendouree,Rubbish/Recycle Bin Receptacle,00212306,OS-Regional,Ballarat Botanical Gardens,City of Ballarat,Ballarat Botanical Gardens,Central,143.821872985482,-37.5473260070714
Lake Wendouree,Rubbish/Recycle Bin Receptacle,00212307,OS-Regional,Ballarat Botanical Gardens,City of Ballarat,Ballarat Botanical Gardens,Central,143.821868985895,-37.5473189842308
Lake Wendouree,Rubbish/Recycle Bin Receptacle,00212308,OS-Regional,Ballarat Botanical Gardens,City of Ballarat,Ballarat Botanical Gardens,Central,143.822607978246,-37.546355988694
Lake Wendouree,Rubbish/Recycle Bin Receptacle,00212309,OS-Regional,Ballarat Botanical Gardens,City of Ballarat,Ballarat Botanical Gardens,Central,143.822610015373,-37.5463499928587
