Area,ID,Constructed,Location,PlayType,Maintain,Site,Ward,long,lat
Alfredton,37171,8/30/2019,"Alfredton Pre School Play Equipment
6-8 Balyarta Street
Alfredton",B-Child Minding Playground,Tenant,Alfredton Pre School,North,143.806501,-37.5523079
Black Hill,37173,8/30/2019,"Black Hill Pre School Play Equipment
602 Sherrard St
Black Hill",B-Child Minding Playground,Tenant,Black Hill Pre School,Central,143.8695687,-37.54841863
Brown Hill,37174,8/30/2019,"Brown Hill Pre School Play Equipment
1 Reid Crt
Brown Hill
",B-Child Minding Playground,Tenant,Brown Hill Pre School,Central,143.8949831,-37.55166601
Buninyong,37175,8/30/2019,"Buninyong Early Learning Centre Play Equipment
206-208 Learmonth St
Buninyong",B-Child Minding Playground,Tenant,Buninyong Early Learning Centre,South,143.887819,-37.65051951
Delacombe,37176,8/30/2019,"Delacombe Pre School Play Equipment
105 Whitelaw Ave
Delacombe",B-Child Minding Playground,Tenant,Delacombe Childrens Centre,South,143.8185894,-37.58029705
Ballarat Central,37177,8/30/2019,"Girrabanya Play Equipment
Cnr Steinfeld St & Peel St Sth
Ballarat Central
",B-Child Minding Playground,Tenant,Girrabanya Childrens Centre,Central,143.8628573,-37.56535332
Redan,37178,8/30/2019,"Iris Ramsay Pre School Play Equipment
105 Lonsdale St
Redan",B-Child Minding Playground,Tenant,Iris Ramsay Pre School,South,143.8345156,-37.5754278
Wendouree,37179,8/30/2019,"Linda Brown Pre School Play Equipment
CnrCollege & Head St
Wendouree",B-Child Minding Playground,Tenant,Linda Brown Pre School,North,143.8367807,-37.53745417
Mount Clear,37181,6/1/2000,"Play Equipment
Mt Clear Pre School 
2 Dallas Ave
Mt Clear ",B-Child Minding Playground,Tenant,Mount Clear Childrens Centre,South,143.8685036,-37.60735378
Mount Helen,37182,8/30/2019,"Mt Helen Pre School Play Equipment
16 Boak Ave
Mt Helen",B-Child Minding Playground,Tenant,Mount Helen Pre School,South,143.8777862,-37.62600726
Mount Pleasant,37183,8/30/2019,"Mt Pleasant Pre School Play Equipment
826 Laurie St
Mt Pleasant
",B-Child Minding Playground,Tenant,Mount Pleasant Pre School,Central,143.8538293,-37.57803869
Ballarat Central,37189,8/30/2019,"Occasional Child Care Play Equipment
112 Armstrong St Nth
Ballarat Central
",B-Child Minding Playground,Tenant,Occasional Child Care,Central,143.8573911,-37.55820875
Wendouree,37184,8/30/2019,"Rowan View Pre School Play Equipment
402 Forest St
Wendouree",B-Child Minding Playground,Tenant,Rowan View Childrens Centre,North,143.8353996,-37.52193472
Sebastopol,37185,8/30/2019,"Sebsatopol South Pre School Play Equipment
179-181 Spencer St
Sebastopol",B-Child Minding Playground,Tenant,Sebastopol South Pre School,South,143.8391453,-37.6025095
Wendouree,37191,8/30/2019,"Wendouree Childrens Centre Play Equipment
CNR Gillies St Nth & Hastings Street
Wendouree
",B-Child Minding Playground,Tenant,Wendouree Childrens Centre,North,143.8241914,-37.53154846
Ballarat North,37188,8/30/2019,"Ballarat Child Minding Co Op Play Equipment
1007 Armstrong St
Ballarat North",B-Child Minding Playground,Tenant,Midlands Reserve,North,143.8598359,-37.54056426
Ballarat North,37180,8/30/2019,"Midlands Pre School Play Equipment
701 Landsborough St
Ballarat North",B-Child Minding Playground,Tenant,Midlands Reserve,North,143.8600884,-37.53970276
Ballarat Central,37172,8/30/2019,"Ballarat Fidelity Pre-school Play Equipment
212 Ripon St Sth
Redan",B-Child Minding Playground,Tenant,Western Oval Reserve,Central,143.840032,-37.56562645
