Council_ID,Location,Site,Type,Accessible,Ambulant,DDA_Access,DoorsAuto,SocialUse,Lat,Long
00036362,"Public Toilets (Rear of 39 Sturt St), Albert St, Ballarat Central",Albert Street Toilets,B-Public Toilet,1,0,Yes,No,Public Facilities,-37.5627065325966,143.859109040761
00036364,"Public Toilets, 38 Armstrong St Nth, Ballarat Central",Armstrong Street Toilets,B-Public Toilet,Not Applicable,Not Applicable,Not Applicable,No,Public Facilities,-37.5601488958001,143.856800978845
00036481,"Public Toilets, Curtis St (Big W), Ballarat Central",Big W Toilets,B-Public Toilet,Not Applicable,Not Applicable,Not Applicable,No,Public Facilities,-37.5612409826614,143.861319547411
00036520,"Public Toilets, Drummond St Nth, Ballarat Central",Drummond Street North Toilets,B-Public Toilet,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public Facilities,-37.560299734441,143.847756662923
00036545,"Public Toilets, Cnr Little Bridge St & Peel St Sth, Ballarat Central",Little Bridge Street Toilets,B-Public Toilet,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public Facilities,-37.5633588020067,143.863071082074
00036607,"Public Toilets, 181-183 Albert St, Sebastopol",Sebastopol Offices Public Toilets,B-Public Toilet,1,Not Applicable,Yes,No,Public Facilities,-37.5970171098743,143.841401221689
00036635,"Public Toilets, Laidlaw St, Learmonth",Alexander Park,B-Public Toilet,1,Not Applicable,Yes,No,Public Facilities,-37.4227838785256,143.712287620219
00036644,"Public Toilets, 89 Cuthberts Rd, Alfredton",Alfredton Recreation Reserve,B-Public Toilet,Not Applicable,Not Applicable,No,No,Public Facilities,-37.5550775435766,143.800591418073
00036663,"Toilets, Cnr Creswick Rd & Howitt St, Wendouree",Ballarat Showgrounds,B-Public Toilet,1,Not Applicable,Yes,No,Commercial,-37.5415188489038,143.848204812836
00225876,"Toilets (adj. White Ave), Cnr Creswick Rd & Howitt St, Wendouree",Ballarat Showgrounds,B-Public Toilet,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Commercial,-37.5415188489038,143.848204812836
00036686,"Public Toilets, 373 Humffray St Nth, Brown Hill",Brown Hill Reserve,B-Public Toilet,Not Applicable,Not Applicable,Yes,No,Public Facilities,-37.552079930808,143.895975883165
00036494,"Public Toilets, Scott St, Buninyong",Buninyong Botanic Gardens,B-Public Toilet,1,1,Yes,No,Public Facilities,-37.653038297605,143.886916849269
00036722,"Public Toilets (adj Sports Club), 238 Dowling St, Wendouree",Charles Edward Brown Reserve,B-Public Toilet,Not Applicable,Not Applicable,No,No,Public Facilities,-37.5368480968969,143.844003313865
00036723,"Public Toilets Male (adj Dowling St), 238 Dowling St, Wendouree",Charles Edward Brown Reserve,B-Public Toilet,Not Applicable,3,No,No,Public Facilities,-37.5373938270828,143.841521590416
00036725,"Public Toilets Female (adj Dowling St), 238 Dowling St, Wendouree",Charles Edward Brown Reserve,B-Public Toilet,Not Applicable,Not Applicable,No,No,Public Facilities,-37.5372297847901,143.841543632302
00036750,"Public Toilets / Shelter, 502 Warrenheip St, Buninyong",De Soza Park,B-Public Toilet,1,Not Applicable,Yes,No,Public Facilities,-37.6491005583901,143.883941594342
00237362,"Public Toilet (2015), Doug Dean Reserve, Greenhalghs Road, Delacombe",Doug Dean Reserve,B-Public Toilet,1,Not Applicable,Yes,Yes,Public Facilities,1.#QNAN,1.#QNAN
