CountID,Date,Road,Location,Direction,Days,MidweekADT,WeekendADT,7DayADT,AvgHr,Lat,Long
10,1/01/2002,DANA STREET,Between Grenville St & Albert St,W+E,5,"11,104",,,,-37.564433806789161,143.8595313649985
100,1/01/2001,WATER STREET BALLARAT,South of Scott Pde,N+S,5,"5,698",,,,-37.557577380700963,143.89239834332042
1001,1/01/2004,Glenelg Hwy ,500m W of Masada Rd @118.5km from Melbourne                         ,E         ,5,"2,731",,,,-37.59161504481969,143.78055791161924
1002,1/01/2004,Glenelg Hwy ,500m W of Masada Rd @118.5km from Melbourne                         ,W         ,5,"2,658",,,,-37.591687067909689,143.78056059331541
1003,1/01/2001,Ballarat-Carngham Rd (Latrobe St) ,300m W of Gillies St (Ballarat)               ,E         ,5,"3,061",,,,-37.570035322561566,143.81243737660412
1004,1/01/2001,Ballarat-Carngham Rd (Latrobe St) ,300m W of Gillies St (Ballarat)               ,W         ,5,"2,433",,,,-37.570125349300206,143.81244076449099
1005,1/01/2004,Midland Hwy ,btw Sayle St & Kent St                                              ,N         ,5,"10,655",,,,-37.584205251817693,143.84080190439693
1006,1/01/2004,Midland Hwy ,btw Sayle St & Kent St                                              ,S         ,5,"11,738",,,,-37.584202527088308,143.84091502701648
101,1/01/2001,WATER STREET BALLARAT,North of Scott Pde,S+N,5,"4,153",,,,-37.557028640800773,143.89346367806391
1012,1/01/2004,Glenelg Hwy ,btw Alexandra St & Alfred St                                        ,E         ,5,"6,210",,,,-37.58622570038149,143.83322444065885
1013,1/01/2004,Glenelg Hwy ,btw Alexandra St & Alfred St                                        ,W         ,5,"5,804",,,,-37.58811622244535,143.83329615674629
1014,1/01/2004,Alfred St ,btw Glenelg Hwy & Bevtre St                                           ,S         ,5,"2,431",,,,-37.585424034492462,143.83433763749161
1015,1/01/2004,Glenelg Hwy ,20m E of Alfred St @ 3.4km from Ballarat                            ,E         ,5,"6,552",,,,-37.586000767459247,143.83471053317803
1016,1/01/2004,Glenelg Hwy ,20m E of Alfred St @ 3.4km from Ballarat                            ,W         ,5,"6,267",,,,-37.586090792223381,143.83471394983988
1017,1/01/2004,Midland Hwy ,btw Vale St & Burnett St                                            ,N         ,5,"6,436",,,,-37.603972352595065,143.84052341545845
1018,1/01/2004,Midland Hwy ,btw Vale St & Burnett St                                            ,S         ,5,"5,940",,,,-37.603968264042813,143.84069314431284
1019,1/01/2003,Midland Hwy ,btw Prince St & Wall St                                             ,N         ,5,"4,045",,,,-37.612411359451343,143.83844332369753
102,1/01/2002,WHITE SWAN ROAD,WEST OF ALKERA ROAD,E+W,5,419,,,,-37.525893149027304,143.88846960132747
1020,1/01/2003,Midland Hwy ,btw Prince St & Wall St                                             ,S         ,5,"3,822",,,,-37.612409180102397,143.8385338561491
1021,1/01/2001,Ballarat-Carngham Rd (Latrobe St) ,100m E of Stonepark Rd (Ballarat)             ,E         ,5,"5,301",,,,-37.570485623404018,143.81622408494169
1022,1/01/2001,Ballarat-Carngham Rd (Latrobe St) ,100m E of Stonepark Rd (Ballarat)             ,W         ,5,"5,527",,,,-37.570575649842503,143.81622747744152
1023,1/01/2003,Gillies St ,btw Carlton St & Lake Gardens Av                                     ,N         ,5,"10,951",,,,-37.549730986357901,143.82011649148541
1024,1/01/2003,Gillies St ,btw Carlton St & Lake Gardens Av                                     ,S         ,5,"11,622",,,,-37.549726932107973,143.82028610026123
1025,1/01/2004,Ballarat-Burumbeet Rd ,btw Gillies St & Learmonth St                             ,NW        ,5,"9,104",,,,-37.554532469059659,143.81601929196171
1026,1/01/2004,Ballarat-Burumbeet Rd ,btw Gillies St & Learmonth St                             ,SE        ,5,"7,241",,,,-37.554397429009597,143.81601420653638
1027,1/01/2003,Ballarat-Burrumbeet Rd ,btw Ring Rd & Caroline St                                ,E         ,5,"4,490",,,,-37.546764214607506,143.79787985281789
