Date of contribution,Latitude,Longitude,Address,Category,What made you feel like this?,Age,Gender,Do you identify as having a disability?,Your Comment,Are you from a culturally and linguistically diverse background?
Dec 13 17 11:54:50 am,-37.55985162,143.855246,"38 Doveton Street North, Ballarat Central, Victoria 3350, Australia",Happy = Safe,"Busy - lots of people, activity",30,Female,No,Mitchell harris feel safe inside ,No
Dec 14 17 10:59:24 am,-37.56018543,143.8581213,"52 Lydiard Street North, Ballarat Central, Victoria 3350, Australia",Happy = Safe,"Busy - lots of people, activity",20,Female,No,"Because everything is still open, and lit up, I feel this is relatively safe of a night ",No
Dec 14 17 11:00:54 am,-37.56037254,143.8593712,"15 Field Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,Other,20,Female,No,"Feel very unsafe - not busy, dark, dingy, alcohol and drug remnants found around there",No
Dec 22 17 12:55:53 pm,-37.56920858,143.8563538,"606 Humffray Street South, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",31,Female,No,"I feel unsafe here as there is limited lighting, hoons (day and night), no safe footpath along the road area of Hickman street and men tend to come and sit in their cars near the oval day and night. There are also homeless people who live down here. I think that is fine: they should be able to live there and feel safe/dry welcome too. But facilities could be improved to make everyone feel safer using the space.",No
Dec 22 17 01:03:45 pm,-37.56836669,143.8550502,"315-317 Armstrong Street South, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,Other,31,Female,No,"This stretch of road (Armstrong street south) is VERY unsafe (from where Armstrong veers off to south street). There is NO footpath. And only one street light for the whole stretch of the block. People park on both sides of the road, day and night. So you are either forced to walk in the gutter, mud or on the road. People (driving) CONSTANTLY cut the corner and I have seen and nearly been in many head on collisions there as people veer onto the wrong side. This makes it incredibly dangerous as a pedestrian and I often feel like I am going to get hit by a car. This area needs a safe footpath, appropriate parking created and more street lights. I have often also felt very vulnerable walking on this strip of road at night to attack.",No
Dec 22 17 01:07:42 pm,-37.56547104,143.8571638,"University of Ballarat SMB Campus, Lydiard St S, Ballarat, Victoria 3350, Australia",Sad = Unsafe,Other,31,Female,No,I feel nervous walking through here on my way home at night-time. I feel vulnerable to attack or abuse as people can see you walking alone from the night-club scene. It would be easy to be attacked in this area. I have felt that I was being followed though here.,No
Feb 03 18 11:29:02 pm,-37.56184387,143.862083,"28 Curtis Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,Other,,Female,,"Poor lighting in this area, lots of dark spaces",
Feb 03 18 11:30:54 pm,-37.56567089,143.8585961,"129 Albert Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,Other,,Female,,"Quiet area, not well lit",
Feb 03 18 11:32:54 pm,-37.56127405,143.8525772,"502 Sturt Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,Other,,Female,,"Males in cars congregate here (parked), also drag racing along Sturt St which is intimidating when you're a lone female walking at night. Not well lit",
Feb 03 18 11:34:40 pm,-37.5608233,143.8579577,"25-27 Lydiard Street North, Ballarat Central, Victoria 3350, Australia",Happy = Safe,"Busy - lots of people, activity",31,Female,,Well lit and busy area supports feelings of safety and security ,
Feb 03 18 11:36:09 pm,-37.5580932,143.8597387,"University of Ballarat, 107 N Lydiard St, Ballarat, Victoria 3350, Australia",Sad = Unsafe,Other,31,Female,,"Can be unsafe at night when not many people around, isolated area if walking alone to car park at night",
Feb 03 18 11:38:59 pm,-37.56567514,143.856858,"107 Lydiard Street South, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,Other,31,Female,,"Dark spaces make this a space where women are vulnerable, area away from roads and people activity meaning harder to raise alarm/get help if something happened- I actively avoid this area at night even though it is a short cut when walking to/from the CBD.",
Feb 03 18 11:39:48 pm,-37.54968115,143.8452816,"126 Wendouree Parade, Lake Wendouree, Victoria 3350, Australia",Happy = Safe,"Busy - lots of people, activity",31,Female,,"The lake area is fairly safe, always people around walking or driving through",
Feb 18 18 06:56:35 pm,-37.55824917,143.8568904,"102 Market Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Harassment - begging, pushing, verbal, physical",38,Female,No,Feel unsafe in evening and weekends when not many people around and businesses closed even though this is next to the train commuter car park which is important space used by many. Prevents working longer hours when commuting to Melbourne. A barrier for those wanting to move to Ballarat and commute.,No
Feb 18 18 06:59:22 pm,-37.5553803,143.8559249,"215 Doveton Street North, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Harassment - begging, pushing, verbal, physical",38,Female,No,Feel unsafe as pathway not visible from main road despite being main way to walk. No where safe to cross to other side of street especially when pushing pram,No
Feb 18 18 07:01:13 pm,-37.55741549,143.8592279,"140-202 Lydiard Street North, Soldiers Hill, Victoria 3350, Australia",Sad = Unsafe,Other,38,Female,No,Feel unsafe at night or when not many people around. Makes commuting harder as a woman when by yourself,No
Feb 23 18 07:30:03 pm,-37.56257899,143.8621953,"42 Bridge Mall, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",32,Female,No,Angry homeless people and ice users are violent and disruptive through the day. And everyone knows to go around the bridge mall throught the night. Shop lifting is a big problem and once they are caught out by the shop keepers. They theives most of which seem to be on drugs turn violent and comfrontational. The bus stop on little bridge street is a definite no go zone all day and night. ,No
Feb 24 18 05:19:40 pm,-37.56310681,143.8621259,"41 Little Bridge Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",48,Female,No,I was there at 8pm and there were already drug and drunk people there. I felt like I was about to be mugged.,No
Feb 24 18 05:20:35 pm,-37.56024922,143.8578558,"Regent Multiplex Ballarat, 49 Lydiard St, Ballarat, Victoria 3350, Australia",Happy = Safe,Well Lit - considered lighting,48,Female,No,Always feel safe here,No
Feb 26 18 12:34:16 pm,-37.56323012,143.8621795,"43 Little Bridge Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",,Male,,There is to many teenagers hanging around at the bus stop causing trouble and starting fights ,No
Feb 26 18 01:08:48 pm,-37.56216055,143.8679865,"4 East Street North, Bakery Hill, Victoria 3350, Australia",Sad = Unsafe,"Harassment - begging, pushing, verbal, physical",35,Female,No,Have been verbally abused by ice addicts here before.,No
Feb 26 18 01:11:14 pm,-37.5604831,143.8642502,"38 Peel Street North, Bakery Hill, Victoria 3350, Australia",Happy = Safe,Well Lit - considered lighting,35,Female,No,"Always feel safe walking Mair Street. Unlike some of the other streets, it is well lit - and doesn't have hidden dark spots. This is always the street I will walk home to Ballarat East from the city.",No
Feb 26 18 01:12:53 pm,-37.56177706,143.8685794,"Bakery Hill Fish House, 75 Victoria St, Ballarat, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",35,Female,No,Have had homeless asking for money here.,No
Feb 26 18 01:14:47 pm,-37.56368938,143.8628611,"7 Eastwood Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",35,Female,No,Stopped shopping here alone at night because of the homeless and drug addicts. Have been verbally abused by addicts.,No
Feb 26 18 01:20:18 pm,-37.56313175,143.8575513,"39 Lydiard Street South, Ballarat Central, Victoria 3350, Australia",Happy = Safe,Well Lit - considered lighting,35,Female,,Felt safe walking back to my car late after a town hall meeting at midnight.,
Feb 26 18 01:22:40 pm,-37.5631876,143.8620347,"41 Little Bridge Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",35,Female,,Avoid walking near here day and night.,
Feb 26 18 01:24:29 pm,-37.56186513,143.8671845,"1 Pearse Street, Bakery Hill, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",35,Female,,Used as a short cut by drunks and homeless at night. Recently had to call police as two ice addicts were screaming for an hour in the pharmacy carpark.,
Feb 26 18 01:25:52 pm,-37.56169668,143.8684601,"Bakery Hill Fish House, 75 Victoria St, Ballarat, Victoria 3350, Australia",Happy = Safe,"Busy - lots of people, activity",35,Female,,"Busy and safe supermarket most of the time. It's very busy day and night, and there are always people around. ",
Feb 26 18 01:27:29 pm,-37.56199564,143.8577557,"5 Lydiard Street North, Ballarat Central, Victoria 3350, Australia",Happy = Safe,"Busy - lots of people, activity",35,Female,,Always busy day and night.,
Feb 26 18 01:28:42 pm,-37.56355329,143.8651621,"34-36 Main Road, Bakery Hill, Victoria 3350, Australia",Happy = Safe,Well Lit - considered lighting,35,Female,,Always felt safe here day and night. ,
Feb 26 18 01:31:10 pm,-37.55204613,143.8524941,"2 Trench Street, Ballarat Central, Victoria 3350, Australia",Happy = Safe,"Busy - lots of people, activity",35,Female,,"Always felt safe here, even when visiting the store just before close.",
Feb 26 18 06:46:44 pm,-37.56378479,143.8620813,"Ferguson Plarre Bakehouses, Eastwood Shopping Complex, Little Channel Ln, Ballarat, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",42,Female,No,I never go to the supermarkets at night - not safe at all. I?ve been approached several times for money with one male telling me he always asks females who are by themselves. In another incident one male stood in front of my car asking for money where I couldn?t move my car forward to leave the park. Both were at night time. Security (well use to be) inside the supermarkets but you?re on your own once in the car park. Thanks for letting me share this because I often think about it. Also this has stopped me from going to Bridge Mall too. ,No
Feb 26 18 09:14:01 pm,-37.55993049,143.8588755,"101 Mair Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Sexual Harassment - stalking, propositioning, groping, rape",22,Female,No,"I always feel unsafe out the front of bluestone, and the security guards don't make it feel any safer unfortunately ",No
Feb 27 18 02:06:29 pm,-37.56075339,143.8565613,"18 Armstrong Street North, Ballarat Central, Victoria 3350, Australia",Happy = Safe,"Busy - lots of people, activity",48,Female,No,Safe when dining out,No
Feb 27 18 02:07:42 pm,-37.55998795,143.8552202,"36 Doveton Street North, Ballarat Central, Victoria 3350, Australia",Happy = Safe,"Busy - lots of people, activity",48,Female,No,Feel safe,No
